mpjpe,median,max,mae_x,mae_y,mae_z,mse,rmse,frame,num_joints,align
72.33757464472343,78.08382469761824,117.63657847198958,21.27844017024366,32.07613707525066,48.948991914226895,5897.719798476699,76.79661319665536,frame_0001,18,similarity
72.47796858225281,77.51294941273206,117.69053467238427,23.31337351442552,32.37940016273097,50.346477350326374,5928.434721637377,76.99632927378666,frame_0002,18,similarity
72.83133996591629,81.62813159060101,117.14780969660278,21.07283038319004,36.79200460875763,49.56820556434632,6090.759542288062,78.04331837055663,frame_0003,18,similarity
76.84608262508326,76.46646722242104,141.40833940704246,34.784569441149316,33.579343343753955,46.83425030992562,6738.267810240991,82.08695274062127,frame_0004,18,similarity
78.07757527430302,74.76501031661623,128.83035413233173,36.4931695778752,35.72350521779079,43.2505582043979,6688.207029417072,81.78145895872164,frame_0005,18,similarity
72.53068347314337,71.00235766300901,156.999319342209,41.88814030520022,30.591008418527963,39.07320507917678,6142.540124498385,78.37435884585203,frame_0006,18,similarity
73.28372477399144,68.76050996544987,156.23773880554518,42.979833501243625,28.536767345169388,39.5542194931681,6292.206145069564,79.32342746672992,frame_0007,18,similarity
75.08943883003415,75.02942344701754,154.58309591600093,31.498493008727614,32.284700439904405,48.321033695302006,6870.0723764861195,82.88589974468589,frame_0008,18,similarity
75.2385504052184,70.99708888817628,116.22269699276175,27.63636095707625,29.52051689782545,52.47419397481578,6334.144201267895,79.5873369404197,frame_0009,18,similarity
74.35910533429056,72.50483398776447,122.43301333766796,28.070205177480602,29.750755108197456,50.24163907769397,6141.773659814009,78.36946892645126,frame_0010,18,similarity
59.54934490369524,55.3895382941592,103.45191324449544,21.936257741195327,25.185923650137095,38.95973763765935,4173.355472573012,64.60151292789521,frame_0011,18,similarity
68.01774857758316,68.07714493279659,163.53630982002335,29.664558737632685,30.917466112768718,42.946972700696556,5947.390152398595,77.11932411787978,frame_0012,18,similarity
64.96847455442337,70.67147700816318,101.24947380079085,22.3237193428042,25.815581394570764,45.746174647939235,4613.067721660241,67.9195680320498,frame_0013,18,similarity
62.28374932971253,59.80372718624913,106.78758205628573,22.27122783323916,17.192059467805834,47.03280364731478,4596.397590140736,67.79673731191447,frame_0014,18,similarity
70.3759262339724,66.41211879570261,112.07151219856839,27.063195110988595,23.913386204759156,52.87930262731885,5587.4867656430615,74.74949341395607,frame_0015,18,similarity
67.17571140689611,67.55498877607911,122.64071937745908,25.253414179620904,19.92205789495774,49.53634949055719,5261.978404692913,72.53949548137837,frame_0016,18,similarity
70.18886685103304,74.06299114703081,115.19947542503095,34.11928440200518,23.484738933020754,46.60530958551564,5688.973750705922,75.4252858841511,frame_0017,18,similarity
70.66133964822579,73.45763782868227,127.5946586926675,36.577436598291314,28.244412056893513,43.19075408611567,5820.100890616343,76.28958572843572,frame_0018,18,similarity
75.30024668531595,79.29995360057532,122.02091432922852,36.279082197848965,31.152780210985913,45.048144247748645,6469.585999764564,80.43373670148965,frame_0019,18,similarity
88.55289637885168,79.82909730431484,158.2486486954877,48.09096083125208,40.28353041735838,46.40480042046468,9165.52444720995,95.73674554323408,frame_0020,18,similarity
90.3127241901152,76.54619708229139,197.2311454363968,48.07264485194764,41.24230462238631,45.31766160253546,9865.088064661368,99.32314969160699,frame_0021,18,similarity
103.00224646688459,87.4000702509877,228.22732218318063,59.68371878674103,43.62151426558845,48.755183850860526,12950.567307539182,113.80055934633705,frame_0022,18,similarity
74.49369820687097,74.92499889466046,121.2082885672721,33.40707168514867,30.615402419033746,43.94035356903022,6104.926506269278,78.13402911836351,frame_0023,18,similarity
71.04368676289351,68.07355187697688,104.48735503145336,30.008041367174126,19.62105752312316,51.518973319895885,5433.953040482155,73.71535145736033,frame_0024,18,similarity
